Sample_Number,Date_Collected,Storage_Solution,CollectionSite,Collection_Site_Location_Details,Brood_year,Year_Class,Oyster_Length_,Oyster_Depth,Weight_g,Size_Class,Tissue,,,,,,,
449,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
450,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
451,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
452,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
453,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
454,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
455,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
456,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
457,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
458,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
459,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
460,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
461,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
462,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
463,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
464,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
465,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
466,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
467,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
468,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
469,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
470,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
471,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
472,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
473,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
474,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
475,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
476,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
477,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
478,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
479,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
480,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
481,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
482,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
483,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
484,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
485,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
486,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
487,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
488,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
489,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,6,Mantle,,,,,,,
490,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
491,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
492,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
493,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
494,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
495,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
496,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
497,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
498,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
499,2017-02-17,95% Ethanol,Rosewall, Creek Beach,2012?,4+ years,10-14 cm,4-6 cm,200-275 g,#N/A,Mantle,,,,,,,
500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
501,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,13,,98,6,,,,,,,,
502,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,107,5,,,,,,,,
503,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,11,,117,5,,,,,,,,
504,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,73,4,,,,,,,,
505,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,124,5,,,,,,,,
506,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,64,3,,,,,,,,
507,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,102,5,,,,,,,,
508,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,11,,105,5,,,,,,,,
509,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,57,3,,,,,,,,
510,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,77,4,,,,,,,,
511,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,91,5,,,,,,,,
512,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,98,5,,,,,,,,
513,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,92,4,,,,,,,,
514,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,118,5,,,,,,,,
515,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,141,5,,,,,,,,
516,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,69,4,,,,,,,,
517,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,80,5,,,,,,,,
518,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,107,4,,,,,,,,
519,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,88,4,,,,,,,,
520,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,67,4,,,,,,,,
521,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,79,5,,,,,,,,
522,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,12,,140,6,,,,,,,,
523,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,96,5,,,,,,,,
524,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,102,5,,,,,,,,
525,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,105,5,,,,,,,,
526,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,63,4,,,,,,,,
527,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,68,5,,,,,,,,
528,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,12,,117,6,,,,,,,,
529,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,102,4,,,,,,,,
530,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,47,3,,,,,,,,
531,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,105,5,,,,,,,,
532,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,111,5,,,,,,,,
533,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,11,,134,5,,,,,,,,
534,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,91,4,,,,,,,,
535,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,95,5,,,,,,,,
536,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,68,4,,,,,,,,
537,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,63,4,,,,,,,,
538,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,75,4,,,,,,,,
539,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,115,4,,,,,,,,
540,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,68,4,,,,,,,,
541,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,100,4,,,,,,,,
542,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,113,4,,,,,,,,
543,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,79,4,,,,,,,,
544,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,96,4,,,,,,,,
545,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,13,,76,6,,,,,,,,
546,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,87,5,,,,,,,,
547,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,92,5,,,,,,,,
548,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,12,,126,6,,,,,,,,
549,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,70,4,,,,,,,,
550,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,82,4,,,,,,,,
551,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,68,3,,,,,,,,
552,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,82,4,,,,,,,,
553,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,107,4,,,,,,,,
554,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,11,,87,5,,,,,,,,
555,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,12,,108,6,,,,,,,,
556,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,82,4,,,,,,,,
557,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,99,5,,,,,,,,
558,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,13,,93,6,,,,,,,,
559,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,108,5,,,,,,,,
560,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,63,4,,,,,,,,
561,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,53,4,,,,,,,,
562,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,11,,118,5,,,,,,,,
563,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,63,4,,,,,,,,
564,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,76,3,,,,,,,,
565,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,97,4,,,,,,,,
566,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,88,4,,,,,,,,
567,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,63,4,,,,,,,,
568,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,88,4,,,,,,,,
569,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,73,4,,,,,,,,
570,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,56,3,,,,,,,,
571,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,82,4,,,,,,,,
572,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,47,3,,,,,,,,
573,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,6,,54,3,,,,,,,,
574,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,42,3,,,,,,,,
575,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,72,3,,,,,,,,
576,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,38,4,,,,,,,,
577,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,63,4,,,,,,,,
578,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,61,4,,,,,,,,
579,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,87,4,,,,,,,,
580,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,69,3,,,,,,,,
581,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,47,3,,,,,,,,
582,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,7,,79,3,,,,,,,,
583,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,70,4,,,,,,,,
584,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,73,4,,,,,,,,
585,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,78,4,,,,,,,,
586,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,62,4,,,,,,,,
587,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,73,4,,,,,,,,
588,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,75,4,,,,,,,,
589,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,74,4,,,,,,,,
590,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,94,4,,,,,,,,
591,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,10,,85,5,,,,,,,,
592,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,57,4,,,,,,,,
593,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,61,4,,,,,,,,
594,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,66,4,,,,,,,,
595,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,73,#N/A,,,,,,,,
596,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,61,#N/A,,,,,,,,
597,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,69,#N/A,,,,,,,,
598,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,77,#N/A,,,,,,,,
599,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,9,,101,#N/A,,,,,,,,
600,2017-05-20,95% Ethanol,Guernsey,,Unknown,Unknown,8,,68,#N/A,,,,,,,,
601,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,"Rob's Beach;Multiple Sequence Dates (2018-05-08, 2018-04-14, 2018-04-21)"
602,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
603,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
604,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
605,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
606,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
607,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
608,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
609,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
610,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
611,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
612,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
613,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1.5 cm,,2 g,1,Whole,,,,,,,
614,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g ,1,Whole,,,,,,,
615,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
616,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
617,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
618,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
619,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
620,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
621,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1.5,3 cm,,2 g,2,Whole,,,,,,,
622,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,2 cm,,2 g,1,Whole,,,,,,,
623,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
624,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
625,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
626,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
627,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
628,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
629,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,<1 g,1,Whole,,,,,,,
630,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
631,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
632,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
633,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
634,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
635,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
636,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
637,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
638,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
639,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
640,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
641,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
642,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
643,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
644,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
645,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
646,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
647,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
648,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,1,Whole,,,,,,,
649,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,#N/A,Whole,,,,,,,
650,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,#N/A,Whole,,,,,,,
651,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,#N/A,Whole,,,,,,,
652,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,#N/A,Whole,,,,,,,
653,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,#N/A,Whole,,,,,,,
654,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
655,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
656,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
657,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
658,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
659,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
660,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
661,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,#N/A,Whole,,,,,,,
662,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
663,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
664,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
665,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
666,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
667,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
668,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,#N/A,Whole,,,,,,,
669,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,#N/A,Whole,,,,,,,
670,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,#N/A,Whole,,,,,,,
671,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
672,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
673,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
674,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
675,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
676,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
677,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
678,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
679,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,#N/A,Whole,,,,,,,
680,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,1,2 cm,,2 g,#N/A,Whole,,,,,,,
681,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
682,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
683,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
684,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,<1 yr,1 cm,,<1 g,1,Whole,,,,,,,
685,2017-05-27,95% Ethanol,Pipestem,Rob Cove,,2,9-11 cm,,90-165 g,5,Mantle,,,,,,,
